Feature,Importance
Order Month,0.20495000555483356
Order DayOfWeek,0.19307904731507228
Cost,0.12410741237874913
Sales,0.09429662328167178
Ship Mode_Enc,0.09048870555946315
Distance_km,0.07836116760514177
Region_Enc,0.06809103328084819
Units,0.03580194988075182
Product Name_Enc,0.026514021694619486
Cost Per Unit,0.026440814843256222
Revenue Per Unit,0.017374487293660753
Profit Per Unit,0.017256028320991216
Profit Margin %,0.015669886732291513
Factory_Enc,0.006376078343095949
Division_Enc,0.0011927379155532373
